Commodity,Mean,SD,CV,ACF1,Trend
Rice,13678.182515337423,1656.2590401580937,0.12108765461353664,0.9923220992557513,4.149493666549714
Chicken,36557.170245398775,2065.6847064288763,0.05650559637309103,0.9043034615389698,1.560537801950152
Beef,132432.63036809815,5652.40317121892,0.04268134790880461,0.9503263815442622,11.93052471005408
Eggs,29034.969325153375,2478.488479101401,0.08536218693209549,0.8962661488919511,4.484222536147753
Shallots,38561.69478527607,7599.631113281884,0.19707720720261585,0.9852324497991667,8.902945679319823
Garlic,36474.84662576687,6353.743282399587,0.17419520217834505,0.9866948957452221,14.140023270032113
Red Chili,49393.25153374233,11055.084487532196,0.2238177108056971,0.9719162289741842,7.993587509104825
Bird's Eye Chili,55922.622699386506,12153.152654354215,0.2173208635024827,0.965902347666176,-1.0471874341610121
Cooking Oil,19258.895705521474,2196.245280162005,0.11403796529893183,0.9942715498762693,3.2062300237100194
Sugar,16473.159509202455,1942.1932959386445,0.11790047287854347,0.9958395727962097,4.848105106207472
