Commodity,Mean,SD,CV,ACF1,Trend,ARIMA_RMSE,XGB_RMSE,Winner,Improvement
Red Chili,49393.25153374233,11055.084487532196,0.2238177108056971,0.9719162289741842,7.993587509104825,5907.95889713569,1593.2615986922256,XGBoost,73.0319451026534
Bird's Eye Chili,55922.622699386506,12153.152654354215,0.2173208635024827,0.965902347666176,-1.0471874341610121,12197.359606345057,1805.8176788247233,XGBoost,85.19501156721378
Shallots,38561.69478527607,7599.631113281884,0.19707720720261585,0.9852324497991667,8.902945679319823,5353.953401278994,704.5408415911985,XGBoost,86.84073639074086
Garlic,36474.84662576687,6353.743282399587,0.17419520217834505,0.9866948957452221,14.140023270032113,3856.7937314001874,296.1403106849043,XGBoost,92.32159323756751
Rice,13678.182515337423,1656.2590401580937,0.12108765461353664,0.9923220992557513,4.149493666549714,480.2702816001257,41.471484346909754,XGBoost,91.36496969815863
Sugar,16473.159509202455,1942.1932959386445,0.11790047287854347,0.9958395727962097,4.848105106207472,414.5806224607048,305.5070305901377,XGBoost,26.309380120848612
Cooking Oil,19258.895705521474,2196.245280162005,0.11403796529893183,0.9942715498762693,3.2062300237100194,512.7514971185924,154.2650051654308,XGBoost,69.91427503726013
Eggs,29034.969325153375,2478.488479101401,0.08536218693209549,0.8962661488919511,4.484222536147753,1359.2502794806433,182.00387379071344,XGBoost,86.60998077114573
Chicken,36557.170245398775,2065.6847064288763,0.05650559637309103,0.9043034615389698,1.560537801950152,2918.5358063602184,684.4762495608558,XGBoost,76.54727250324595
Beef,132432.63036809815,5652.40317121892,0.04268134790880461,0.9503263815442622,11.93052471005408,1575.3775807685902,922.4447776958833,XGBoost,41.44611495322639
